trade_date,open,high,low,close,vol,amount,pct_change,ma_bfq_5,ma_bfq_20,ma_bfq_60,ema_bfq_10,ema_bfq_60,macd_dif_bfq,macd_dea_bfq,macd_bfq,dmi_adx_bfq,dmi_pdi_bfq,dmi_mdi_bfq,roc_bfq,mtm_bfq,updays,downdays,atr_bfq,boll_upper_bfq,boll_lower_bfq,rsi_bfq_12,cci_bfq,wr_bfq,kdj_k_bfq,kdj_d_bfq,obv_bfq,mfi_bfq
2023-02-17,4086.2237,4104.6398,4032.9285,4034.507,116142589.0,225737746.96,-1.4408,4108.10962,4132.74696,3975.06754,4104.20144,4011.74245,24.282,41.566,-34.567,19.13808,7.65103,34.10338,-3.84721,-161.4262,0.0,3.0,55.0358,4214.866,4050.627,41.645,-145.24569,98.83,28.25191,36.78599,4728615.51657,43.11097
2023-02-20,4039.9623,4134.8623,4035.4762,4133.4896,161794481.0,280122962.15,2.4534,4106.09274,4132.52323,3980.59956,4109.52656,4015.73416,24.724,38.197,-26.948,23.99691,10.98954,26.87728,-1.13987,-47.6597,1.0,0.0,54.91725,4214.609,4050.437,55.297,-40.39876,25.495,43.66969,39.08056,4744794.96467,51.86815
2023-02-21,4130.0632,4151.7994,4116.2716,4144.3536,145776173.0,249674201.05,0.2628,4105.90542,4132.8788,3986.85333,4115.85875,4019.95119,25.654,35.689,-20.069,28.18964,13.45019,25.71218,0.06572,2.7217,2.0,0.0,55.1723,4215.105,4050.653,56.515,62.09206,17.446,56.63125,44.93079,4759372.58197,51.96754
2023-02-22,4118.9669,4134.8759,4101.8596,4106.9506,104290295.0,191586158.99,-0.9025,4102.55768,4131.71061,3992.4763,4114.23908,4022.80363,23.107,33.172,-20.131,33.84927,11.91102,27.34253,0.49115,20.0727,0.0,1.0,56.01255,4214.709,4048.712,51.268,17.02961,45.157,56.03505,48.63221,4748943.55247,44.68075
2023-02-23,4106.2136,4132.3896,4088.2073,4103.6463,103564906.0,197193582.43,-0.0805,4104.58942,4129.09254,3997.97826,4112.31312,4025.45421,20.585,30.655,-20.14,37.87652,12.43989,21.49743,0.2299,9.4128,0.0,2.0,55.72027,4212.164,4046.021,50.814,0.61596,47.605,54.82153,50.69531,4738587.06187,45.07174
2023-02-24,4100.9897,4102.6094,4048.2374,4061.0457,100989425.0,191210465.05,-1.0381,4109.89716,4123.06849,4003.04888,4102.99177,4026.62115,14.976,27.519,-25.087,38.31349,12.7928,22.3811,-0.37034,-15.0954,0.0,3.0,56.79955,4207.519,4038.618,45.179,-135.19654,79.168,43.49166,48.2941,4728488.11937,45.33693
2023-02-27,4040.4571,4067.0296,4034.5237,4043.8444,93787630.0,187959491.15,-0.4236,4091.96812,4115.19346,4007.51668,4092.23771,4027.18584,9.038,23.823,-29.57,33.01658,12.5508,24.13179,-2.10639,-87.0121,0.0,4.0,54.09357,4198.342,4032.045,43.075,-167.51332,91.912,31.69028,42.75949,4719109.35637,39.68395
2023-02-28,4058.1298,4074.2639,4026.4476,4069.4587,110323591.0,198799712.38,0.6334,4076.98914,4110.82351,4013.12029,4088.09607,4028.57184,6.326,20.324,-27.994,31.39989,12.40084,24.21047,-0.89742,-36.851,1.0,0.0,53.50007,4193.94,4027.707,47.079,-120.75978,69.593,31.26242,38.92714,4730141.71547,45.70931
2023-03-01,4068.7331,4135.4812,4061.2167,4126.9415,156015794.0,255374791.02,1.4125,4080.98732,4107.37392,4017.76227,4095.15887,4031.79707,8.715,18.002,-18.573,28.65119,17.76863,23.95081,-0.4014,-16.6325,2.0,0.0,54.30493,4181.293,4033.455,54.852,17.44757,28.956,47.56478,41.80635,4745743.29487,47.42446
2023-03-02,4119.9919,4137.2525,4113.8264,4117.7377,148217637.0,235953764.97,-0.223,4083.8056,4104.20334,4022.17396,4099.26412,4034.6148,9.754,16.352,-13.197,24.46263,18.36577,24.43542,-0.66467,-27.5525,0.0,1.0,53.63344,4170.209,4038.198,53.48,53.60212,27.173,55.98556,46.53275,4730921.53117,54.50703
2023-03-03,4126.0183,4135.2116,4100.3827,4130.5513,160331741.0,226914545.63,0.3112,4097.70672,4103.64931,4026.10367,4104.95269,4037.76026,11.478,15.377,-7.799,24.28897,15.94087,26.93803,0.1664,6.862,1.0,0.0,51.47569,4168.566,4038.732,55.183,52.847,16.951,65.00678,52.69076,4746954.70527,46.28574
2023-03-06,4131.1525,4132.8367,4088.4484,4109.0102,162971807.0,283079861.97,-0.5215,4110.73988,4104.75593,4030.07138,4105.69042,4040.09632,10.98,14.498,-7.036,24.85479,14.81085,27.90533,0.3792,15.5226,0.0,1.0,49.87463,4169.245,4040.267,51.712,28.56163,34.135,68.17508,57.8522,4730657.52457,39.17936
2023-03-07,4103.6419,4124.9609,4046.5679,4048.8519,195912068.0,272491994.01,-1.4641,4106.61852,4102.48685,4031.77098,4095.35615,4040.38339,5.665,12.731,-14.132,25.77741,14.04336,30.61427,0.35556,14.3449,0.0,2.0,52.32521,4171.343,4033.631,43.395,-60.47663,79.78,52.18992,55.96477,4711066.31777,37.70794
2023-03-08,4030.7387,4037.287,4011.5231,4034.1077,117936493.0,191659655.19,-0.3642,4088.05176,4100.38518,4032.86947,4084.22006,4040.17763,0.261,10.237,-19.953,26.21183,15.24265,31.55937,-2.40431,-99.3819,0.0,3.0,52.25029,4174.68,4026.09,41.606,-141.64247,82.037,40.7809,50.90348,4699272.66847,38.58986
2023-03-09,4035.8433,4043.8493,4000.8901,4019.8505,116539629.0,201737990.69,-0.3534,4068.47432,4094.83488,4033.89297,4072.51651,4039.51117,-5.114,7.167,-24.561,28.67495,15.87426,29.22126,-3.00416,-124.5031,0.0,4.0,51.09287,4175.507,4014.163,39.872,-136.1322,86.096,31.82207,44.54301,4687618.70557,38.60274
2023-03-10,3991.7959,4004.3612,3966.428,3967.1352,123855409.0,218286956.13,-1.3114,4035.7911,4087.87615,4034.02556,4053.35627,4037.13818,-13.471,3.039,-33.021,34.57765,12.3543,36.66801,-3.40436,-139.8154,0.0,5.0,51.83853,4185.597,3990.155,34.134,-169.99346,99.586,21.35271,36.81291,4675233.16467,30.64798
2023-03-13,3962.6426,4008.686,3962.6426,4008.686,143561370.0,242865516.76,1.0474,4015.72626,4081.13175,4034.19959,4045.2344,4036.20532,-16.551,-0.879,-31.345,39.60194,10.23837,36.08153,-2.31405,-94.9603,1.0,0.0,51.43185,4181.138,3981.126,41.387,-123.66637,73.631,23.02491,32.21691,4689589.30167,30.37129
2023-03-14,3999.8803,4001.9415,3946.9405,3984.6956,150544174.0,267224848.81,-0.5985,4002.895,4073.10202,4034.72046,4034.22735,4034.51648,-20.69,-4.841,-31.697,43.82272,9.9471,35.24571,-1.88006,-76.3501,0.0,1.0,53.1796,4176.929,3969.275,38.703,-123.43893,80.161,21.96278,28.79887,4674534.88427,29.69771
